dataset_id,dataset_code,dataset_name,dataelement_id,dataelement_code,dataelement_name,hmis_code
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Gdsh69w1ULd,IG03B,CRP - Number Positive,IG03
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),ioFXvXGyrFY,IG04A,Others - Number Done,IG04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Sllv4L02jGv,IG04B,Others - Number Positive,IG04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),mj9EwT0PIF5,LP01,ALT - Done,LP01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),aaGYInATRwj,LP02,AST - Done,LP02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),rPhjTy1Vovv,LP03,ALP - Done,LP03
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),YlTN6XqlCmW,LP04,GGT - Done,LP04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),wj8rSCxEd9e,LP05,Protein - Total - Done,LP05
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),PL5GgsqbGr7,LP06,Albumin - Done,LP06
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),UoaGo2p2XSa,LP07,Bilirubin - Total - Done,LP07
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),ejqKJTZBJd6,LP08.,Bilirubin - Direct - Done,LP08
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),zyMJoyTBAPg,LR01,Triglycerides- Done,LR01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),fpzhsuLYZ5b,LR02,Cholesterol - Total- Done,LR02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),wx0vmw3ieey,LR03.,HDL- Done,LR03
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),MQkfVna7ir2,LR04.,LDL- Done,LR04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),KfQ1gcLszOB,MB010,Stool for Gene x-pert - Done,MB010
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),HHKeuwKNIVs,MB010B,Stool for Gene x-pert - Positive,MB010
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),N2tdd2oVD7j,MB01A,Auramine (FM) - Done,MB01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),HEVh1IAiSns,MB01B,Auramine (FM) - Positive,MB01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Rc9Rhl5IzHB,MB02A,ZN for AFBs - Done,MB02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),ERiU13xMW1o,MB02B,ZN for AFBs - Positive,MB02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),nOBfsFT3Phs,MB03A,Leishman Stain - Done,MB03
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),PS2RpCXHCda,MB03B,Leishman Stain - Positive,MB03
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),YtRhG7MI5Ls,MB04A,Gram - Done,MB04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),tYC3HDL512l,MB04B,Gram - Positive,MB04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),qvKuzu2i7ul,MB05A,India Ink - Done,MB05
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),RbzDr6tksXF,MB05B,India Ink - Positive,MB05
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),tUnMWSsmire,MB06A,Urine Microscopy - Done,MB06
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),zfGWuExNfc7,MB06B,Urine Microscopy - Positive,MB06
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),UrW2mViO9dP,MB07a,Urine Protein- Done,MB07
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),TyScVue0q2V,MB07b,Urine Protein- Positive,MB07
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),XfUP592funq,MB08a,Urine Glucose- Done,MB08
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),rNbbIYr9Aua,MB08b,Urine Glucose- Positive,MB08
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),wDU2VlALGnN,MB09A,Wet Preps - Done,MB09
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),FNKrq1mhRgo,MB09B,Wet Preps - Positive,MB09
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),qwwGSP1B5QN,MB11a,Skin Smear - Done,MB11
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),TGUAulMmWi1,MB11b,Skin Smear - Positive,MB11
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),D1cZoWEpVZr,MB12A,Others - Done,MB12
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),PHzHQU8XPae,MB12B,Others - Positive,MB12
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),zkzJZxS01UL,ML01A,"NAAT (Xpert, Trunat, TB LAMP)- Total",ML01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),HCSpaYVtSQo,ML01B,"NAAT (Xpert, Trunat, TB LAMP) - MTB+",ML01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),bf1COdgT1ut,ML01C,"NAAT (Xpert, Trunat, TB LAMP)- RR",ML01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),nY1Zl8YQZwa,ML02A,Latent TB Infection test - Total,ML02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),z3p7CQxWkum,ML02B,Latent TB Infection test - Positive,ML02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),VJjezz2WAqu,ML03A,HPV - Number Done,ML03
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),ta0abIWR00o,ML03B,HPV - Number Positive,ML03
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),I9mOZypWPiC,ML04A,HIV viral load (PCR) - Number Done,ML04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),gLc0j9gZ3Hz,ML04B,HIV viral load (PCR) - Number Positive,ML04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Bax9SZ4nvPw,ML05A,Hep B Viral Load - Number Done,ML05
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),TN0mmttzxnd,ML05B,Hep B Viral Load - Number Positive,ML05
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),EoapWImZrpK,ML06A,EID (PCR) - Number Done,ML06
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),xPtOdRdjbze,ML06B,EID (PCR) - Number Positive,ML06
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Lta7wvGeMcV,ML07A,Covid-19 (GXP / mRDT) - Number Done,ML07
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),lnhQcD8kNEe,ML07B,Covid-19 (GXP / mRDT) - Number Positive,ML07
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),uczoHBurJod,ML08A,Others - Number Done,ML08
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),wV8nR3BE26Q,ML08B,Others - Number Positive,ML08
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),wTdG6nnYMj4,MS01,Entamoeba - Positive,MS01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),u1Rv1mxNmJn,MS02,Giardia Lumblia- Positive,MS02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),jd8YHK81EYe,MS03,Cryptosporidium - Positive,MS03
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),sMYJWV46KrX,MS04,Isospora - Positive,MS04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),z7bnAKXSWFL,MS05,Cyclospora - Positive,MS05
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),mZ2HwpIgf9U,MS06,Strongyloides - Positive,MS06
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),dmm7XMg6XCK,MS07,Schistosoma - Positive,MS07
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),h4awJUYZXxR,MS08,Taenia - Positive,MS08
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),xD0bQSWLu2t,MS09,Askaris - Positive,MS09
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),dHBQ4tnISlq,MS10,Hookworm - Positive,MS10
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),zkhvWfk1aNF,MS11,Trichuris - Positive,MS11
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Z4w3OOLA6MU,MS12,Other_Parasities - Positives,MS12
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),OMq2TLc3nt0,MS13,Total Tests Done for Stool Microscopy,MS13
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),lyKbbP7LeTH,PP01,Amylase - Done,PP01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),QGgeoySty6L,PP02,Lipase - Done,PP02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),XxiY4tHbl2Z,PP03 ,Extended Electrolytes - Done,PP03 
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),vyKwpmxmgl5,PP04 ,Calcium - Done,PP04 
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),uhto05XLPSr,PP05,Magnessium - Done,PP05
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),jmpvzaJi5c0,PS01A,Malaria Microscopy - Done,PS01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),OwLbdAphoNp,PS01B,Malaria Microscopy - Positive,PS01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),JfOGWtiSj1J,PS02A,Malaria RDTs - Done,PS02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),OOsYcFK5YbS,PS02B,Malaria RDTs - Positive,PS02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),NrNzNOidiE8,PS03A,Trypanosoma - Done,PS03
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),b97pHj26X0h,PS03B,Trypanosoma - Positive,PS03
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),S8VpnPS89ZJ,PS04A,Microfilaria - Done,PS04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),aTpLorJB8OX,PS04B,Microfilaria - Positive,PS04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),jVBv8a8sTby,PS05A,Trichinella - Done,PS05
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),PFTxDUPFBuc,PS05B,Trichinella - Positive,PS05
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),TZkw6GmubnT,PS06A,Borrellia - Done,PS06
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),iRQWRvBzyXl,PS06B,Borrellia - Positive,PS06
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),zGgvWmAoA26,RP01,Urea - Done,RP01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),V4F9DIaEfke,RP02,Chloride - Done,RP02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Q5NfznovGC7,RP03,Potassium - Done,RP03
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),UnoKFNaPlS4,RP04,Sodium - Done,RP04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),yijGYWqLK3L,RP05,Creatinine - Done,RP05
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),eSF3SXwU7Vj,RS01,Inadequate specimen volume,RS01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),TIkGhlmaAxY,RS02,Heamolyzed specimen,RS02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),UlJGkeEmV4S,RS03,Specimen without lab request form,RS03
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),WKV9sj5Chfn,RS04,No test specified on lab request form accompanying specimen,RS04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),CRGdmgZ42dW,RS05,Specimen without label or identifier,RS05
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),DyCyRhBfsxT,RS06,Wrong specimen label,RS06
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),hN1rHraRHo1,RS07,Unclear specimen label,RS07
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),EOBdlb6pkLx,RS08,Wrong specimen container,RS08
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),GwNyBcwsx5X,RS09,Damaged specimen container,RS09
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),bQgPxazzwDh,RS10,Too old specimen,RS10
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),LhpfB8nVkzA,RS11,Date of specimen collection not specified,RS11
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),w71YrG6FYtY,RS12,Time of specimen collection not specified,RS12
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),toZpoxPTChY,RS13,Specimen type unacceptable for required test,RS13
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),LBveCUC8bJ1,RS14,Other reasons,RS14
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),reB03ib2geA,RT01,Routine tests that could not be conducted at facility - Chemistry,RT01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),slsXAv1Jqtc,RT02,Routine tests that could not be conducted at facility - Microbiology,RT02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),YMJHKWJRY22,RT03,Routine tests that could not be conducted at facility - HIV screening,RT03
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),N7iozDIRDH6,RT04,Routine tests that could not be conducted at facility - Haematology,RT04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),IDkHHcf2Fdx,RT05,Routine tests that could not be conducted at facility - Parasitology,RT05
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),DC0x3PfbDCB,RT07,Routine tests that could not be conducted at facility - Serology,RT07
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),G5MxyfW7dH5,SR01A,VDRL/ RPR - Done,SR01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),mIJFz3kAhAw,SR01B,VDRL/ RPR - Positive,SR01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),YW1LKh5m22o,SR02A,TPHA - Done,SR02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),SpoSb2vUZTB,SR02B,TPHA - Positive,SR02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),oLHkxHBpunK,SR03A,Shigella Dysentery - Done,SR03
